tag,category,implications
asui_tsuyu,4,
asura,5,humanoid
athletic,103,
athletic_anthro,106,anthro athletic
athletic_female,106,athletic female
athletic_gynomorph,106,athletic_intersex gynomorph
athletic_humanoid,106,athletic humanoid
athletic_intersex,106,athletic intersex
athletic_male,106,athletic male
athletic_wear,100,sportswear
attack,108,
au_ra,5,scalie
audie_(animal_crossing),4,animal_crossing
audience,107,group
audino,5,pokemon_(species)
aurelion_sol_(lol),4,
australian_cattle_dog,5,herding_dog
australian_shepherd,5,sheepdog
auto_penis_lick,101,oral_masturbation penile_masturbation self_lick
autofellatio,101,oral_masturbation penile_masturbation penis_in_mouth
autofootjob,101,foot_play masturbation
autopenetration,101,masturbation penetration
autotitfuck,101,breast_play penile_masturbation
autumn,107,
autumn_blaze_(mlp),4,friendship_is_magic
avali,5,avian
averi_(fiddleafox),4,
avian,5,
avian_(starbound),5,avian
avian_butt,103,
avian_demon,5,avian demon
avian_feet,103,
avian_humanoid,5,animal_humanoid avian
avocato,4,
axe,100,
axolotl,5,marine salamander
azula_arktandr,4,
azzilan,4,
babs_bunny,4,
babs_seed_(mlp),4,friendship_is_magic
baby,100,young
baby_talk,105,
back_boob,103,breasts
back_markings,103,markings
back_muscles,103,
back_spines,103,spines
back_tentacles,103,tentacles
backless_clothing,100,clothing
backpack,100,
backsack,103,balls
backwards_baseball_cap,100,backwards_hat baseball_cap
backwards_hat,100,hat
bad_parenting,108,
badge,100,
badger,5,musteline
badgerclops,4,
badnik,5,machine
bag,100,
balcony,107,
bald,103,
bald_eagle,5,eagle
baldur's_gate,3,
ball,103,
ball_bulge,103,bulge
ball_fondling,103,balls fondling
ball_gag,103,gag
ball_grab,103,balls grabbing
ball_lick,103,balls licking oral sex
ball_ring,103,balls ring
ball_size_difference,103,balls
ball_sniffing,103,balls sniffing
ball_suck,103,balls oral sex sucking
ball_tuft,103,balls tuft
ball_worship,103,balls genital_worship
ballbusting,105,cock_and_ball_torture
balloon,100,inflatable
balls,103,genitals
balls_blush,103,balls body_blush
balls_deep,103,penetration
balls_expansion,103,balls genital_expansion
balls_in_underwear,103,underwear
balls_on_face,103,balls
balls_outline,103,detailed_bulge genital_outline
balls_touching,103,balls
baloo,4,
balto,4,
bambi,4,
bamboo,100,
bamfear,5,humanoid
banana,100,fruit
band-aid,100,bandage
band-aid_on_face,100,band-aid bandage_on_face
band-aid_on_nose,100,band-aid_on_face bandage_on_nose
bandage,100,
bandage_on_face,100,bandage
bandage_on_nose,100,bandage_on_face
bandaged_arm,100,bandage
bandaged_leg,100,bandage
bandeau,100,topwear
bandicoot,5,marsupial
bandit_heeler,4,bluey_(series)
banette,5,pokemon_(species)
bangaa,5,lizardman
bangle,100,jewelry
bangs,100,
banjo_(banjo-kazooie),4,
baphomet_(deity),4,deity
bar,107,
bar_stool,107,stool
barazoku,103,
barbel_(anatomy),103,
barbell,100,
barbell_piercing,100,jewelry piercing
barcode,100,
bare_shoulders,108,
barefoot,108,feet
barn,107,
barn_owl,5,owl
barrel,100,container
barrel_(live_a_hero),4,
baryonyx,5,spinosaurid
base_three_layout,7,
base_two_layout,7,
baseball_bat,100,bat_(object)
baseball_cap,100,hat
basic_sequence,108,sequence
basitin,5,mammal
basket,100,container
basketball,100,
basketball_(ball),100,ball
bassariscus,5,procyonid
basset_hound,5,scent_hound
bast,4,deity
bat,5,mammal
bat_(object),100,
bat_ears,103,
bat_humanoid,5,bat mammal_humanoid
bat_pony,5,equid
bat_wings,103,membranous_wings
bath,108,
bathing,108,
bathrobe,100,robe
bathroom,107,
bathtub,107,
bathym_(tas),4,
batman,4,
battle,108,
bayleef,5,pokemon_(species)
bdsm,105,
bdsm_gear,105,
bea_santello,4,
beach,107,
beach_ball,107,ball inflatable
beach_chair,107,chair
beach_towel,107,towel
beach_umbrella,107,parasol
beaded_jewelry,100,beads jewelry
beaded_necklace,100,beaded_jewelry necklace
beads,100,
beady_eyes,103,no_irises no_sclera
beagle,5,scent_hound
beak,103,
beakjob,105,beak oral sex
beakless,103,
bean_bag,100,
beanie,100,hat
bear,5,mammal
beard,103,facial_hair
bearded_vulture,5,old_world_vulture
beast_(bloodborne),5,
beast_(disney),4,
beast_boy,4,
beau_(animal_crossing),4,animal_crossing
beaver,5,rodent
beckoning,108,gesture
becoming_erect,108,
bed,107,furniture
bed_sheet,107,bedding
bedding,100,
bedding_background,107,bedding
bedroom,107,
bedroom_eyes,107,narrowed_eyes seductive
bee,5,hymenopteran
bee_humanoid,5,bee insect_humanoid
beedrill,5,pokemon_(species)
beer,100,alcohol
beer_bottle,100,alcohol_bottle
beerus,4,
beetle,5,insect
before_and_after,108,sequence
begging,101,
begging_pose,108,begging pose
behemoth_(final_fantasy),5,monster
behind_glass,100,glass
being_watched,108,looking_at_another
bell,100,
bell_collar,105,bell collar
belladonna_(trials_of_mana),4,
belly_blush,103,body_blush
belly_dancer,103,
belly_expansion,103,expansion
belly_grab,103,grabbing
belly_hair,103,body_hair
belly_inflation,103,inflation
belly_markings,103,markings
belly_nipples,103,multi_nipple
belly_overhang,103,
belly_riding,103,bound
belly_rolls,103,
belly_rub,103,rubbing
belly_squish,103,big_belly squish
belly_tattoo,103,tattoo
belt,100,
belt_buckle,100,buckle
belt_pouch,100,pouch_(clothing)
ben_bigger,4,
bench,100,
bendy_straw,100,drinking_straw
bengal_tiger,5,tiger
benjamin_clawhauser,4,zootopia
bent_arm,108,
bent_leg,108,
bent_legs,108,
bent_over,108,
bent_spoon_position,101,sex
berdly,4,
beret,100,hat
bernese_mountain_dog,5,molosser mountain_dog
berry,100,fruit
berry_punch_(mlp),4,friendship_is_magic
beta_design,111,
betelgammamon,5,digimon_(species)
betelgeusian,5,mammal
between_breasts,108,breasts
beverage,100,
beverage_can,100,can
bib,100,
biceps,103,
big_anus,103,anus
big_areola,103,areola
big_bad_wolf,4,
big_balls,103,balls
big_belly,103,
big_biceps,103,biceps
